filename,size_bytes,size_gb,size_match,path_glenwrt,path_glenhouse_pc
"Twelve.Monkeys.1995.PROPER.2160p.UHD.Blu-ray.REMUX.DV.HEVC.DTS-HD.MA.5.1-HDH.mkv",87889679509,81.85,True,"/Volumes/Media_Lib/Movies/Twelve.Monkeys.1995.PROPER.2160p.UHD.Blu-ray.REMUX.DV.HEVC.DTS-HD.MA.5.1-HDH/Twelve.Monkeys.1995.PROPER.2160p.UHD.Blu-ray.REMUX.DV.HEVC.DTS-HD.MA.5.1-HDH.mkv","/Volumes/Media_Lib-1/Twelve.Monkeys.1995.PROPER.2160p.UHD.Blu-ray.REMUX.DV.HEVC.DTS-HD.MA.5.1-HDH/Twelve.Monkeys.1995.PROPER.2160p.UHD.Blu-ray.REMUX.DV.HEVC.DTS-HD.MA.5.1-HDH.mkv"
"13.Hours.2016.2160p.UHD.Bluray.REMUX.DV.HEVC.TrueHD.7.1.Atmos-PTer.mkv",84751086030,78.93,True,"/Volumes/Media_Lib/Movies/13小时 Thirteen Hours/13.Hours.2016.2160p.UHD.Bluray.REMUX.DV.HEVC.TrueHD.7.1.Atmos-PTer.mkv","/Volumes/Media_Lib-1/13.Hours.2016.2160p.UHD.Bluray.REMUX.DV.HEVC.TrueHD.7.1.Atmos-PTer.mkv"
"Ready.Player.One.2018.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.mkv",83983688120,78.22,True,"/Volumes/Media_Lib/Movies/头号玩家 4K REMUX （蓝光原盘）/Ready.Player.One.2018.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT/Ready.Player.One.2018.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.mkv","/Volumes/Media_Lib-1/头号玩家 4K REMUX （蓝光原盘）/Ready.Player.One.2018.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT/Ready.Player.One.2018.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos-FGT.mkv"
"John.Wick.Chapter.2.2017.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv",82332059704,76.68,True,"/Volumes/Media_Lib/Movies/J 疾速追杀系列.John.Wick.Chapter（1-3）/John.Wick.Chapter.2.2017.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv","/Volumes/Media_Lib-1/J 疾速追杀系列.John.Wick.Chapter（1-3）/John.Wick.Chapter.2.2017.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv"
"John.Wick.Chapter.3.Parabellum.2019.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv",79731290309,74.26,True,"/Volumes/Media_Lib/Movies/J 疾速追杀系列.John.Wick.Chapter（1-3）/John.Wick.Chapter.3.Parabellum.2019.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv","/Volumes/Media_Lib-1/J 疾速追杀系列.John.Wick.Chapter（1-3）/John.Wick.Chapter.3.Parabellum.2019.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv"
"Zero.Dark.Thirty.2012.2160p.BluRay.HEVC.TrueHD.7.1.Atmos.mkv",78625315931,73.23,False,"/Volumes/Media_Lib/Movies/Zero.Dark.Thirty.2012.2160p.BluRay.HEVC.TrueHD.7.1.Atmos/Zero.Dark.Thirty.2012.2160p.BluRay.HEVC.TrueHD.7.1.Atmos.mkv","/Volumes/Media_Lib-1/Zero.Dark.Thirty.2012.2160p.BluRay.HEVC.TrueHD.7.1.Atmos/Zero.Dark.Thirty.2012.2160p.BluRay.HEVC.TrueHD.7.1.Atmos.mkv"
"Black Hawk Down 2001 Extended V2 UHD BluRay REMUX 2160p HEVC Atmos TrueHD7.1 4Audio-CHD.mkv",76029046147,70.81,True,"/Volumes/Media_Lib/Movies/Black Hawk Down 2001 Extended V2 UHD BluRay REMUX 2160p HEVC Atmos TrueHD7.1 4Audio-CHD/Black Hawk Down 2001 Extended V2 UHD BluRay REMUX 2160p HEVC Atmos TrueHD7.1 4Audio-CHD.mkv","/Volumes/Media_Lib-1/Black Hawk Down 2001 Extended V2 UHD BluRay REMUX 2160p HEVC Atmos TrueHD7.1 4Audio-CHD/Black Hawk Down 2001 Extended V2 UHD BluRay REMUX 2160p HEVC Atmos TrueHD7.1 4Audio-CHD.mkv"
"Gladiator.2000.EXTENDED.2160p.BluRay.REMUX.HEVC.DTS-X.7.1-FGT.mkv",74121216801,69.03,True,"/Volumes/Media_Lib/Movies/角斗士4K REMUX (2000)/Gladiator.2000.EXTENDED.2160p.BluRay.REMUX.HEVC.DTS-X.7.1-FGT.mkv","/Volumes/Media_Lib-1/角斗士4K REMUX (2000)/Gladiator.2000.EXTENDED.2160p.BluRay.REMUX.HEVC.DTS-X.7.1-FGT.mkv"
"To.Kill.a.Mockingbird.1962.2160p.UHD.Blu-ray.REMUX.HDR.HEVC.DTS-HD.MA.5.1-HDH.mkv",68677150430,63.96,True,"/Volumes/Media_Lib/Movies/To.Kill.a.Mockingbird.1962.2160p.UHD.Blu-ray.REMUX.HDR.HEVC.DTS-HD.MA.5.1-HDH/To.Kill.a.Mockingbird.1962.2160p.UHD.Blu-ray.REMUX.HDR.HEVC.DTS-HD.MA.5.1-HDH.mkv","/Volumes/Media_Lib-1/To.Kill.a.Mockingbird.1962.2160p.UHD.Blu-ray.REMUX.HDR.HEVC.DTS-HD.MA.5.1-HDH/To.Kill.a.Mockingbird.1962.2160p.UHD.Blu-ray.REMUX.HDR.HEVC.DTS-HD.MA.5.1-HDH.mkv"
"Training.Day.2001.2160p.BluRay.REMUX.HEVC.DV.DTS-HD.MA.TrueHD.7.1.Atmos.mkv",59000111881,54.95,True,"/Volumes/Media_Lib/Movies/Training.Day.2001.2160p.BluRay.REMUX.HEVC.DV.DTS-HD.MA.TrueHD.7.1.Atmos/Training.Day.2001.2160p.BluRay.REMUX.HEVC.DV.DTS-HD.MA.TrueHD.7.1.Atmos.mkv","/Volumes/Media_Lib-1/Training.Day.2001.2160p.BluRay.REMUX.HEVC.DV.DTS-HD.MA.TrueHD.7.1.Atmos.mkv"
"Reservoir.Dogs.1992.2160p.UHD.BluRay.Remux.HEVC.DV.TrueHD.5.1-ADE.mkv",56660635573,52.77,True,"/Volumes/Media_Lib/Movies/Reservoir.Dogs.1992.2160p.UHD.BluRay.Remux.HEVC.DV.TrueHD.5.1-ADE/Reservoir.Dogs.1992.2160p.UHD.BluRay.Remux.HEVC.DV.TrueHD.5.1-ADE.mkv","/Volumes/Media_Lib-1/Reservoir.Dogs.1992.2160p.UHD.BluRay.Remux.HEVC.DV.TrueHD.5.1-ADE/Reservoir.Dogs.1992.2160p.UHD.BluRay.Remux.HEVC.DV.TrueHD.5.1-ADE.mkv"
"John.Wick.2014.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv",52836459332,49.21,True,"/Volumes/Media_Lib/Movies/J 疾速追杀系列.John.Wick.Chapter（1-3）/John.Wick.2014.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv","/Volumes/Media_Lib-1/J 疾速追杀系列.John.Wick.Chapter（1-3）/John.Wick.2014.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.TrueHD.7.1.Atmos.mkv"
"Oppenheimer.2023.2160p.UHD.BluRay.HEVC.HDR.HLG.10Bit.DTS-HD.MA.5.1-R&H.mkv",48328545237,45.01,True,"/Volumes/Media_Lib/Movies/0-Latest Movies/Oppenheimer.2023.2160p.UHD.BluRay.HEVC.HDR.HLG.10Bit.DTS-HD.MA.5.1-R&H.mkv","/Volumes/Media_Lib-1/Oppenheimer.2023.2160p.UHD.BluRay.HEVC.HDR.HLG.10Bit.DTS-HD.MA.5.1-R&H.mkv"
