文件名,文件大小(字节),文件大小(可读),glenwrt路径,glenhouse-pc路径
01.林黛玉别父进京都.A.Dream.in.Red.Mansions.1987.E01.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1556925644,1.45 GB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/01.林黛玉别父进京都.A.Dream.in.Red.Mansions.1987.E01.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/01.林黛玉别父进京都.A.Dream.in.Red.Mansions.1987.E01.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
02.宝黛钗初会荣庆堂.A.Dream.in.Red.Mansions.1987.E02.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1067722997,1018.26 MB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/02.宝黛钗初会荣庆堂.A.Dream.in.Red.Mansions.1987.E02.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/02.宝黛钗初会荣庆堂.A.Dream.in.Red.Mansions.1987.E02.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
03.刘姥姥一进荣国府.A.Dream.in.Red.Mansions.1987.E03.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1213328261,1.13 GB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/03.刘姥姥一进荣国府.A.Dream.in.Red.Mansions.1987.E03.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/03.刘姥姥一进荣国府.A.Dream.in.Red.Mansions.1987.E03.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
04.探宝钗黛玉半含酸.A.Dream.in.Red.Mansions.1987.E04.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1363652116,1.27 GB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/04.探宝钗黛玉半含酸.A.Dream.in.Red.Mansions.1987.E04.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/04.探宝钗黛玉半含酸.A.Dream.in.Red.Mansions.1987.E04.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
05.王熙凤毒设相思局.A.Dream.in.Red.Mansions.1987.E05.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1072609361,1022.92 MB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/05.王熙凤毒设相思局.A.Dream.in.Red.Mansions.1987.E05.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/05.王熙凤毒设相思局.A.Dream.in.Red.Mansions.1987.E05.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
06.王熙凤协理宁国府.A.Dream.in.Red.Mansions.1987.E06.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1814623682,1.69 GB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/06.王熙凤协理宁国府.A.Dream.in.Red.Mansions.1987.E06.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/06.王熙凤协理宁国府.A.Dream.in.Red.Mansions.1987.E06.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
07.大观园试才题对额.A.Dream.in.Red.Mansions.1987.E07.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1760936591,1.64 GB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/07.大观园试才题对额.A.Dream.in.Red.Mansions.1987.E07.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/07.大观园试才题对额.A.Dream.in.Red.Mansions.1987.E07.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
08.荣国府归省庆元宵.A.Dream.in.Red.Mansions.1987.E08.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1589137899,1.48 GB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/08.荣国府归省庆元宵.A.Dream.in.Red.Mansions.1987.E08.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/08.荣国府归省庆元宵.A.Dream.in.Red.Mansions.1987.E08.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
09.意绵绵静日玉生香.A.Dream.in.Red.Mansions.1987.E09.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1567663063,1.46 GB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/09.意绵绵静日玉生香.A.Dream.in.Red.Mansions.1987.E09.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/09.意绵绵静日玉生香.A.Dream.in.Red.Mansions.1987.E09.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
10.听曲文宝玉悟禅机.A.Dream.in.Red.Mansions.1987.E10.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,1814623682,1.69 GB,/Volumes/Media_Lib/TV-Series/红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/10.听曲文宝玉悟禅机.A.Dream.in.Red.Mansions.1987.E10.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4,/Volumes/Media_Lib-1/【4K修复】红楼梦.A.Dream.in.Red.Mansions.1987.2160p.WEB-DL.H264.AAC-HDPTWeb/10.听曲文宝玉悟禅机.A.Dream.in.Red.Mansions.1987.E10.2160p.WEB-DL.H264.AAC-HDPTWeb.mp4
