"类别","字段1","字段2","字段3","字段4","字段5"
"比赛信息","主队","Shanghai Port","","",""
"比赛信息","客队","Wuhan Three Towns","","",""
"比赛信息","日期","Friday March 1, 2024","","",""
"比赛信息","比分","3","1","",""
"比赛信息","观众","21,713","","",""
"","","","","",""
"主队球员","姓名","号码","分钟","进球","助攻"
"主队","Matías Vargas","10","0","0","0"
"主队","Liu Zhurun","33","0","0","0"
"主队","Wu Lei","7","2","0","0"
"主队","Lü Wenjun","11","0","1","0"
"主队","Feng Jing","27","0","0","0"
"主队","Jussa","22","0","0","0"
"主队","Oscar","8","0","1","0"
"主队","Xu Xin","16","0","0","0"
"主队","Léo Cittadini","18","0","0","0"
"主队","Li Shuai","32","0","0","0"
"主队","Li Ang","2","0","0","0"
"主队","Zhang Linpeng","5","0","0","0"
"主队","Tyias Browning","3","0","0","0"
"主队","Wang Zhen'ao","19","0","0","0"
"主队","Wang Shenchao","4","1","0","0"
"主队","Yan Junling","1","0","0","0"
"主队","16 Players","","3","2","0"
"客队球员","姓名","号码","分钟","进球","助攻"
"客队","Pedro","9","0","0","0"
"客队","Darlan Mendes","37","0","0","0"
"客队","Feierding Aisikaer","20","0","0","0"
"客队","Romário Baldé","11","0","0","0"
"客队","He Chao","21","0","0","0"
"客队","Zhang Xiaobin","12","0","0","0"
"客队","Wang Yi Denny","28","1","0","0"
"客队","Liu Ruofan","8","0","0","0"
"客队","Jiang Zhipeng","4","0","0","0"
"客队","Park Ji-soo","5","0","0","0"
"客队","Wumitijiang Yusupu","40","0","0","0"
"客队","Deng Hanwen","25","0","0","0"
"客队","Chen Yuhao","17","0","0","0"
"客队","Liu Dianzuo","32","0","0","0"
"客队","14 Players","","1","0","0"
"","","","","",""
"统计数据","项目","主队","客队","",""
"统计","控球率","67%","33%","",""
